root,source,direct_files,recursive_files,direct_bytes,proposed,status,reason
Garçons (Gelbooru),Hairstyles/short_hair,12,12,2777673,Hairstyles/short_hair,keep,déjà sous une famille structurée
Garçons (Gelbooru),Hairstyles/two-tone_hair,5,5,878391,Hairstyles/two-tone_hair,keep,déjà sous une famille structurée
Garçons (Gelbooru),Hairstyles/wet_hair,1,1,157325,Hairstyles/wet_hair,keep,déjà sous une famille structurée
Garçons (Gelbooru),headphones,9,9,1822060,headphones,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),high_heels,21,21,3720217,high_heels,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),humiliation,7,7,2123007,Sexual themes/Bdsm/humiliation,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru),imminent_rape,2,2,482575,Sexual themes/Non-consensual/imminent_rape,move,requête composite non consentie
Garçons (Gelbooru),instrument,1,1,205201,instrument,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),interracial & interspecies,58,58,14113853,interracial & interspecies,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),knight,3,3,621613,knight,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),leash,4,4,780507,Sexual themes/Bdsm/leash,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru),magical_girl,2,3,367559,magical_girl,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),magical_girl/sailor_uranus slaine_troyard,1,1,47525,magical_girl/sailor_uranus slaine_troyard,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),maid,43,43,12505523,maid,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),military_uniform,1,1,690221,military_uniform,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),molestation,1,1,135750,Sexual themes/Non-consensual/molestation,move,requête composite non consentie
Garçons (Gelbooru),netorare,1,1,407617,netorare,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),ninja,5,5,982890,ninja,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),nun,8,8,1369351,nun,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),nurse,1,1,162875,nurse,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),pegging,3,3,1918126,Sexual themes/Penetration/pegging,move,pratique sexuelle classée dans Penetration
Garçons (Gelbooru),penis_on_face,3,3,2213898,Sexual themes/Oral/penis_on_face,move,pratique sexuelle classée dans Oral
Garçons (Gelbooru),pet_play,1,1,249091,Sexual themes/Bdsm/pet_play,move,pratique sexuelle classée dans Bdsm
Garçons (Gelbooru),Piercings,0,33,0,Piercings,keep,déjà sous une famille structurée
Garçons (Gelbooru),Piercings/headphones piercing,1,1,599948,Piercings/headphones piercing,keep,déjà sous une famille structurée
Garçons (Gelbooru),Piercings/piercing,29,29,6751776,Piercings/piercing,keep,déjà sous une famille structurée
Garçons (Gelbooru),Piercings/piercing ear_piercing,1,1,370162,Piercings/piercing ear_piercing,keep,déjà sous une famille structurée
Garçons (Gelbooru),Piercings/piercing ear_piercing nipple_piercing navel_piercing,1,1,204862,Piercings/piercing ear_piercing nipple_piercing navel_piercing,keep,déjà sous une famille structurée
Garçons (Gelbooru),Piercings/piercing undressing,1,1,227982,Piercings/piercing undressing,keep,déjà sous une famille structurée
Garçons (Gelbooru),pole_dancing,1,1,32991,pole_dancing,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),police_uniform,6,6,1039827,police_uniform,review,aucune correspondance sûre dans les familles actuelles
Garçons (Gelbooru),pregnant,4,4,1089949,pregnant,keep,reste à la racine comme dans la galerie Tags
Garçons (Gelbooru),priest,1,1,327539,priest,review,aucune correspondance sûre dans les familles actuelles
